title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Who Made Me a Princess,"The beautiful Athanasia was killed at the hands of her own biological father, Claude de Alger Obelia, the cold-blooded emperor! It’s just a silly bedtime story… until one woman wakes up to suddenly find she’s become that unfortunate princess! She needs a plan to survive her doomed fate, and time is running out. Will she go with Plan A, live as quietly as possible without being noticed by the infamous emperor? Plan B, collect enough money to escape the palace? Or will she be stuck with plan C, sweet-talking her way into her father’s good graces?!",4.7,2017,"['Fantasy', 'Manhwa', 'Romance', 'Slice of Life', 'Webtoons', 'Full Color', 'Isekai', 'Magic', 'Person in a Strange World', 'Political', 'Reincarnation', 'Royalty', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/who-made-me-a-princess-1-190x266.jpg?t=1625919708,Who Made Me a Princess,170,Manhwa,9,Dec 2017 - Apr 2022,44361,https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess,https://cdn.myanimelist.net/r/100x140/images/manga/1/222587.jpg?s=cecf3c4b967303b8718e6158a2127177,8.44
Omniscient Reader,"Back then, Dokja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dokja will go on a journey to change the course of the story and save humankind once and for all.",4.7,2020,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Cheats', 'Full Color', 'High Stakes Games', 'Play or Die', 'Psychological', 'PVE', 'PVP', 'RPG', 'Survival', 'Urban Fantasy', 'Explicit Violence', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/omniscient-reader-1-285x409.jpg?t=1628025756,Omniscient Reader,216,Manhwa,?,May 2020 -,86865,https://myanimelist.net/manga/132214/Omniscient_Reader,https://cdn.myanimelist.net/r/100x140/images/manga/2/238873.jpg?s=858d19412b33a49c830e878dda63a246,8.39
Bastard,"Jin has lived a tough life. One of his oldest memories is waking up in the hospital, having received an artificial heart valve, and a glass eye. And as a student, he's relentlessly bullied for his disabilities. But Jin's school life is nothing compared to his home life, where he's raised by his father, a serial killer who targets young women and forces the boy to act as his accomplice. Can Jin do anything to stop his father's reign of terror without becoming the next victim?",4.7,2014,"['Drama', 'Horror', 'Manhwa', 'Romance', 'Webtoons', 'Criminals', 'Disability', 'Dysfunctional Families', 'Full Color', 'Mind Games', 'Psychological', 'Psychopaths', 'Serial Killers', 'Thriller', 'Bullying', 'Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/bastard-1-190x289.jpg?t=1625913904,Bastard,137,Manhwa,5,Jul 2014 - May 2016,125977,https://myanimelist.net/manga/111213/Bastard,https://cdn.myanimelist.net/r/100x140/images/manga/1/205549.jpg?s=81a22f6e7bc4ef04c4f6bcde20e3bb22,8.5
Banana Fish,"Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands--and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...",4.7,1985,"['Action', 'Adventure', 'Drama', 'Mystery', 'Shoujo', 'America', 'Delinquents', 'Guns', 'Hand to Hand Combat', 'Psychological', 'Drug Use', 'Emotional Abuse', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Sexual Content', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/banana-fish-1-285x429.jpg?t=1629834461,Banana Fish,74,Manga,19,Apr 1985 - Mar 1994,52440,https://myanimelist.net/manga/756/Banana_Fish,https://cdn.myanimelist.net/r/100x140/images/manga/5/265185.jpg?s=cd2b4cad8fd1a76febbc6801f588ba39,8.63
Teenage Mercenary,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?",4.7,2020,"['Action', 'Drama', 'Manhwa', 'Webtoons', 'Full Color', 'Lifestyle Change', 'School Life']",https://cdn.anime-planet.com/manga/primary/teenage-mercenary-1-190x266.jpg?t=1625929294,Teenage Mercenary,972,Manhwa,?,Nov 2020 -,20119,https://myanimelist.net/manga/146966/Teenage_Mercenary,https://cdn.myanimelist.net/r/100x140/images/manga/3/260540.jpg?s=fab413353d70cfd1ed6d7c254c93b660,7.9
Spirit Fingers!,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked out…OR, if you’re Amy Song you could join up with the Spirit Fingers – the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.",4.7,2015,"['Comedy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'School Club']",https://cdn.anime-planet.com/manga/primary/spirit-fingers-1-190x266.jpg?t=1625914644,Spirit Fingers,401,Manhwa,13,May 2015 - Jul 2018,6444,https://myanimelist.net/manga/112370/Spirit_Fingers,https://cdn.myanimelist.net/r/100x140/images/manga/2/206123.jpg?s=20c190393da259cf6ee481c74b8992fe,8.21
Your Letter,"Sori is a special young girl - kind, caring and principled well beyond her years. Unfortunately, these are NOT the personality traits generally celebrated in middle school – especially Sori’s, where she’s bullied mercilessly for defending the defenseless until she herself becomes a target. To escape, she transfers to a new school where the same old problems begin to play out all over again – that is until a mysterious trail of letters leads Sori on a magical scavenger hunt through the hidden world that exists right below the surface of her new middle school. The mail trail is the work an anonymous guardian angel, whose mission seems to be to provide a soft landing for Sori at her new school. But who is this person? And why did he choose her? With each letter, secrets are revealed and bonds are formed - as Sori learns about friendship, flora, fauna and finding the good in people in this strange new environment.",4.7,2018,"['Adventure', 'Drama', 'Manhwa', 'Mystery', 'Webtoons', 'Full Color', 'School Life', 'Bullying']",https://cdn.anime-planet.com/manga/primary/your-letter-1-190x270.jpg?t=1625920730,Your Letter,613,Manhwa,1,Aug 2018 - Oct 2018,10618,https://myanimelist.net/manga/120875/Your_Letter,https://cdn.myanimelist.net/r/100x140/images/manga/2/222246.jpg?s=7edcf3385ecd5f3fdb171945efc905ff,8.07
The Male Lead's Little Lion Daughter,"The handsome Duke Voreoti is the most terrifying man in the empire, with the coldest of demeanors and a gaze that can kill. But one day, he suddenly says that he wants to… adopt a child?! And that child is me?! After finding me at a shady orphanage, he whisked me away to his snowy palace without a second thought. Now I’m learning all the ways of the feared Voreoti family from his knights. However, things get dicey when the Duke becomes suspicious of my origins. With these fangs and jet black hair, perhaps we are more than just kindred spirits…",4.7,2021,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Nobility', 'Person in a Strange World', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-male-leads-little-lion-daughter-1-285x399.webp?t=1640373784,The Male Lead's Little Lion Daughter,1173,Manhwa,?,Aug 2021 -,4356,https://myanimelist.net/manga/148238/The_Male_Leads_Little_Lion_Daughter,https://cdn.myanimelist.net/r/100x140/images/manga/3/263090.jpg?s=e79c80d21e14186c017585e0d9779578,7.83
20th Century Boys,"The world is never quite the same once we grow up. Villains and robots that once ran rampant in our imaginations are reduced to drawings in Manga, and our lives are distilled until there is little left but the daily grind; so it has been for Kenji. After a childhood of dreams he now runs his late father's liquor store and is raising his sister's child. The memories and friends from his early years bring him some happiness, but they become tainted as a string of murders find connections to his past. Kenji and his friends must now fight to save the future from their past and unravel the mystery of ""Friend.""",4.7,1999,"['Action', 'Drama', 'Mystery', 'Sci Fi', 'Seinen', 'Historical', 'Psychological']",https://cdn.anime-planet.com/manga/primary/20th-century-boys-1-190x275.jpg?t=1625907535,20th Century Boys,13,Manga,22,Sep 1999 - Apr 2006,233913,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/r/100x140/images/manga/5/260006.jpg?s=eafcd1c26c3ba99b451888d04db02733,8.95
Vagabond,"Following a horrific defeat at the battle of Sekigahara, two survivors, Takezo Shinmen and Matahachi Hon’iden, are deflated at having been unable to make a name for themselves and earn glory on the battlefield. But while Matahachi is anxious to go home, Takezo has vowed never to return and intends to become a vagabond, travelling the country polishing and testing his skills as a swordsman. With a beastial mercilessness when it comes to killing and a habit of cutting down all in his path, it doesn’t take long for Takezo to become a wanted fugitive. However, after being captured by a monk named Takuan and given a new lease of life, Takezo begins to live under the name of Musashi Miyamoto. Now, with a new view on life and death, Musashi continues to travel the nation challenging the most infamous fighters to achieve his goal of becoming the strongest samurai ever known.",4.7,1998,"['Action', 'Adventure', 'Drama', 'Seinen', '17th Century', 'Feudal Japan', 'Hiatus', 'Historical', 'Samurai', 'Swordplay', 'Explicit Violence']",https://cdn.anime-planet.com/manga/primary/vagabond-1-190x272.jpg?t=1625908170,Vagabond,3,Manga,37,Sep 1998 - May 2015,345175,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/r/100x140/images/manga/1/259070.jpg?s=f973f0a07bd37e45f63d71ab122a8c6e,9.23
